"代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放期別","股利發放頻率","現金股利","股票股利","合計股利","除息價","除息價年化現金殖利率","除權價","除權價年化股票殖利率","除權息年化合計殖利率","除息交易日","除權交易日","現金股利發放日"
"00400A","主動國泰動能高息","04/10","11.14","+0.24","+2.2","","","","","","","","","","","","",""
"00401A","主動摩根台灣鑫收","04/10","10.61","+0.08","+0.76","","","","","","","","","","","","",""
="0050","元大台灣50","04/10","80.75","+1.6","+2.02","26H1","半年","1","0","1","71.85","2.78","","0","2.78","'26/01/22","","'26/02/11"
="0051","元大中型100","04/10","115.45","+0.85","+0.74","2025","年","3","0","3","91.1","3.29","","0","3.29","'25/11/21","","'25/12/12"
="0052","富邦科技","04/10","47.94","+1.04","+2.22","2026","年","1.199","0","1.199","47.94","2.5","","0","2.5","'26/04/20","","'26/05/15"
="0053","元大電子","04/10","182.75","+3.65","+2.04","2025","年","3","0","3","136.6","2.2","","0","2.2","'25/11/21","","'25/12/12"
="0055","元大MSCI金融","04/10","33.1","-0.1","-0.3","2025","年","1.25","0","1.25","30.63","4.08","","0","4.08","'25/11/21","","'25/12/12"
="0056","元大高股息","04/10","39.41","+0.33","+0.84","26Q2","季","1","0","1","39.41","10.1","","0","10.1","'26/04/23","","'26/05/14"
="0057","富邦摩台","04/10","240.45","+5.4","+2.3","2025","年","0","0","0","","0","","0","0","","",""
="0061","元大寶滬深","04/10","23.7","+0.29","+1.24","","無","0","0","0","","","","","","","",""
="006201","元大富櫃50","04/10","37.09","+1.11","+3.09","2025","年","0.77","0","0.77","23.89","3.22","","0","3.22","'25/11/21","","'25/12/12"
="006203","元大MSCI台灣","04/10","147.35","+2.85","+1.97","26H1","半年","1.8","0","1.8","129.8","2.77","","0","2.77","'26/01/22","","'26/02/11"
="006204","永豐臺灣加權","04/10","178.3","+2.25","+1.28","2025","年","3.259","0","3.259","142.1","2.29","","0","2.29","'25/10/23","","'25/11/20"
="006205","富邦上証","04/10","40.08","+0.31","+0.78","","無","0","0","0","","","","","","","",""
="006206","元大上證50","04/10","36.83","+0.2","+0.55","","無","0","0","0","","","","","","","",""
="006207","復華滬深","04/10","31.92","+0.46","+1.46","","無","0","0","0","","","","","","","",""
